stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,4.51,1.41,0,0.56,0,0,0,1.97,1.13,0,0.56,0,0,1.41,0,0,0
21Day,0,0.37,0.37,0,0,0,0,0,0.37,0,1.11,0.37,0.37,1.11,0,0.37,0,0.74,0,0,0,0,0,0.74,0,0,0
3Month,0,0,0.73,0,0.1,0.1,0.52,0.42,0,0.1,2.6,0.1,0.42,0.73,0.1,0.1,0.1,0.21,0,0.1,0,0.1,3.95,0,0.1,0.1,14.15
22Month,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0,0
