stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0
21Day,0,1.48,0,0.37,0,0.74,0,0,2.22,4.81,0.37,0,0,0,0.37,0.37,0
3Month,0,0.73,0,0.52,0,0,0.21,0.21,0.31,0.1,0,1.87,0.1,0,0,0,0.21
22Month,0,0.14,0.14,0.27,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0
