stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,62,0,0,2,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,0.85,0,0,0,0,0,0,0.28,1.69,0,6.48,0.28,0,80.04,10.71,0.28,0.85,5.07,0,1.41,0.28,0,0.28,0
21Day,0.74,0,4.44,1.85,0.37,0.37,1.11,0,2.22,0,0.37,1.11,0.37,31.82,0,1.11,102.86,13.69,0.37,0,13.69,4.44,1.85,7.03,10.73,0,0.37
3Month,0,0,0,0,0,0.1,0.1,0.1,0,0.21,0,0.1,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0,0.14,0.14,1.09,0,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
