stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0
21Day,0.74,0.74,0,0,0,0.37,0.37,0,0.74,0,0.37,0,0.37,0,0,0,0,0
3Month,0,0.1,0.1,0,0.31,0.1,0,0.21,0.1,0.1,0,0,0,0,0.21,0.21,0.1,0.1
22Month,0,0.27,0,0.14,1.23,0.14,0.14,0.27,0,0.14,0,0.27,0,0,0,0.14,0,0
