stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,19,1,0,0,0,0,0,3,0,0,0,0,0,1,0,10,0,0,1,30,96,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.56,0,2.25,3.95,0,0,0,0,0,0,0,0,0,0,0.56,6.48,0.28,44.53,0,0.28,3.95,63.7,8.17,0.56,0,14.37,0.85,0.28,1.97,0,0.28,1.13,0,0,0
21Day,4.07,1.85,0.74,9.99,2.59,0,0.37,0,0.37,0,0,0.74,0,0,0.37,0,3.7,0.74,94.35,0,0,41.07,81.03,6.29,1.11,1.11,6.66,4.81,0.37,4.07,1.11,1.11,6.66,0,0,0.37
3Month,0.1,0.21,0,1.25,0,0,0,0.1,0.42,0,0,1.04,0.21,0,0.31,0,0,0.31,1.87,0.1,0.1,0.62,0.52,0.1,0.21,0,0,0,0.73,0,0,0,0,0,0.42,0.1
22Month,0.14,0.27,0,0.82,0,0.14,0.14,0,0.82,0.68,0,6.7,0.14,0.14,0.14,0,0,0.27,3.55,0.14,0,1.37,0.14,0,0.41,0,0,0,0.55,0.14,0,0,0,0.14,0,0.27
