stage,Cardiomyocyte,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0
72hpf,0.85,0,0,0,0,0.85,0,0,0,0,4.23,1.69,0.85,0,0,0.56,0
21Day,0.37,0.37,0,0,0,0,0.37,0.37,0,0,0,0.37,0.37,0,0,0,0
3Month,0,0,0.1,4.37,0.1,0,0,0,0.1,0.1,0,0,0,0.21,0.21,0,0.1
22Month,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0
