stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,2,3,12,1,0,0,0,2,0,0,0,0,1,6,4,36,0,0,0,2,200,0,3,0,0,0,0,0,0,0,0
72hpf,3.66,3.1,3.95,0.85,2.25,1.13,0,0,0,0,1.13,0,3.1,4.51,0.28,18.32,0,0.85,0.28,36.08,90.19,0.28,8.17,1.13,0,4.23,0,0,0.56,0,0
21Day,6.66,0.74,3.7,0,1.11,1.85,0,0.37,0,0.37,1.85,0,1.85,1.85,1.11,12.58,0,0.37,0.74,5.55,24.42,0,3.33,0.37,0,2.59,0.37,1.11,0,0,0
3Month,0,0,0.21,0,0,0.1,0.1,0.1,0,0.52,0.1,0,0,0.1,0.1,0.21,0.1,0,0,0,0,0,0,0,1.77,0.1,0,0,0,0.42,0.31
22Month,0,0,0.27,0,0,0,0,0,0.14,0.68,0.14,0.41,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
