stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0.28,0.28,0.28,0.56,0,0,0.28,9.86,6.76,0,0,0.56,0.28,0,0.28,0.56,0.28,0.85,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0.37,0.74,0.37,0,0.37,0,2.96,2.22,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0,1.14,0,0.73,0.73,0,3.02,0.21,0.1,0.52,0.31,0.21,0,0.21,0.1,0.42,0.21,0.1,0,0,0.21,0,0.21,0.52,0,0,0,0,0.21,0.21,0.62
22Month,0,0.14,0.27,0,0.27,0.68,0.14,3.55,0,0,0.96,0,0,0.27,0.41,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0.41,0,0,0,0,0.41
