stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0.85,0,0.28,0,0,1.97,3.66,0,0.28,0,1.41,0,0,0.28,0,0,0
21Day,0.37,0,0,4.44,1.11,0,0.74,0,0,0,0,0,0.37,0,0,0,0,1.11,0,0,0,0,0.37,1.48,0,0,0,1.11,0.37,0,0,0,0,0
3Month,0.52,1.87,0.52,11.75,0,0.21,0.31,0.42,1.35,0,23.82,1.04,0.73,3.02,0.94,2.29,1.25,3.54,0.52,0,0.52,0.73,0.1,0.21,0.21,0.94,0,0.21,0.21,2.18,0.1,1.35,0.1,2.29
22Month,0,1.37,1.23,7.11,0,0.55,0.55,1.5,5.06,2.6,76.66,0.27,2.6,4.1,0.82,1.5,6.29,3.55,0,1.09,0.14,0,0.14,0.14,0.27,1.09,0.27,0.14,0,0.14,0.27,0,0,0.41
