stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,0,0,16.07,2.25,0,0,0,1.13,0,0,0.28,0.28,0,0,0,0
21Day,3.33,0,0,1.48,0,0,0,0,0,0,0.37,0,0,0,1.11,1.11,0,0,0.37,0,2.96,0.74,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0.31,0.62,0.31,2.29,0.1,1.14,0.73,0,5.62,0.31,0,1.25,0.1,1.04,1.56,4.89,1.25,0,0.52,0.73,0.21,0,0.31,0,0,0.21,0.31,1.25,0.31,0,0.1,0.1,0.42,0.31
22Month,0,0.41,0.27,2.05,0.27,0.41,0.68,1.23,10.93,0.27,0,4.51,0.14,0.41,2.19,2.87,0.14,0.14,0.27,0,0,0,0.27,0.14,0.14,0.14,0.27,1.37,0.27,0.27,0,0.41,0,0.14
