stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0.28,0.28,0,0,0,0
21Day,0.74,0,0.37,0,0,3.7,0,1.85,0,0,0,0.37,0,0,0,0.74,0,0.37,0.74,0,0
3Month,0.31,0.1,0,0.1,0.21,15.08,0.31,2.6,0.1,0.42,0.1,0,0.1,0,0.1,0,0,0,0.21,0.1,0.1
22Month,0,0,0,0,0,1.37,0,1.23,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0
