stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.28,0,0,0,0,0,0.85,1.13,0,0.56,0.56,0,0,1.41,1.97,0,0,0,0.28,0,0.28,0,0,0
21Day,0.74,0,0.74,0.37,0.37,0,0.74,0,0.37,0,0.74,0,1.85,0,0,0,0.74,1.48,0,0.37,0.37,0,0,0.37,0,0,0
3Month,0,0.1,1.35,0,0.21,0.31,16.23,0.42,0.31,0.21,0.21,0.1,0.21,0,0.1,0.1,0.31,0.1,0,0,0,0.21,2.7,0,0.31,2.91,0.42
22Month,0,0.14,0,0,0,0.41,15.85,0,0.27,0,0,0,0,0.27,0,0,0,0.14,0.14,0.27,0,0,0.14,0.14,0,0,0
