stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,152,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,2.25,0,0,0,0,0,0,0.28,9.02,0,0,0,0,0,5.07,0.56,0.28,0,0.56,0,0,0,0,0,0,0,0
21Day,0,0,0,0.74,0.37,0,0,2.22,0,0,0,0.37,0,0,0,12.21,0.37,0,0,0,0,2.59,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0.31,0,1.56,0,0,0.62,57.42,0,3.54,1.25,0.1,1.77,0.1,0.62,26.94,0.83,0,0.1,0.31,0.52,0,0,0,0.1,0,1.56,4.99,0.1,0,0,0.31,3.95,0.21
22Month,0.27,0.96,0.14,1.5,0,3.01,0.68,288.47,0.14,7.24,1.91,0.27,1.23,0.14,0.27,131.87,0.82,0.14,0.55,0,0.14,0.27,0,0.27,0.14,0.14,0.41,2.05,0.27,0.68,0,0.14,0,0.96
