stage,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,0,0,0.37,0,0.37,0,0
3Month,0.21,0.21,0.1,0,0.1,0.21,0.73,0.1
22Month,0,0.27,0,0,0,0,0,0
