stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0,0,1.69,0,1.41,0,0,0,0,0,0,0,0.28,0,0,3.38,0.85,1.69,0.28,0,271.14,32.69,0,2.54,5.07,0,0,4.51,0,0.85,0,0,0
21Day,1.11,0.37,0,3.33,0.37,1.11,0,0,0,0,0,0,0,0.74,0,0.37,0.37,0,3.33,0,0,81.4,11.1,0,2.22,0.37,2.59,0.37,4.44,1.11,0.37,0,0,0.74
3Month,0.1,0,0.1,6.55,0,0,0.1,0.52,0.21,0,0,1.66,0.52,0,0.52,0.31,1.87,0.31,1.14,0,0.1,0.94,0.1,0.73,0.73,0,0.21,1.77,0.42,0,0,0.42,8.01,0.52
22Month,0,0.14,0,1.37,0.14,0,0,0,0.68,0.14,0,3.14,0.68,0.27,0.27,0,0.55,0.27,0.68,0.27,0,0.14,0.14,0.41,0.68,0,0.14,0.27,0.14,0,0,0.14,0,0.41
