stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0.28,0,0,9.86,2.25,0,0.56,0,0,0.56,0.28,0,0,0,0
21Day,0.74,0,0,1.11,0.37,0,0,0.74,0,0,0,0,0,0.37,0,0,0.37,0.37,1.85,0,0,0.37,0,5.18,3.7,0,1.11,0.74,0.37,0.37,0,0,0,0,0.37
3Month,0,0.42,0,2.5,0,0,0,0,0.42,0.31,0,3.33,0.21,0.1,0.62,0.21,1.35,0.42,1.87,0.52,0,0.1,1.98,0,0,0.1,0,0.52,11.86,0,0,0.1,1.14,1.04,2.08
22Month,0,0.55,0.14,1.78,0.14,0,0.14,0.14,0.14,0.55,0.68,17.49,0.27,1.09,0.82,0,0.27,0.68,1.64,0,0.41,0.27,0,0.14,0.14,0.27,0.14,0.14,3.55,0.14,0,0.14,0,0,2.05
