stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0.37,0.37,0,0,0,0,0,0,4.07,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0,0
3Month,0,0.42,0,0.1,0.21,0,0.62,0.31,0.31,0.21,0.1,4.16,0.21,0.31,0.1,0,0,0.21,0,0.1,1.56
22Month,0,0.14,0.14,0,0,0.14,1.64,0,0,0,0,0.41,0.82,0,0,0,0,0.14,0,0,0.82
