stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,9,0,162,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,3,112,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.85,0,45.1,0.28,1.13,0,0,0,0,0,0,0,0,117.53,0,24.8,0,0,17.47,3.66,0.28,0,5.07,0,0,1.13,0.28,0.56,0,0,0
21Day,2.22,0,62.9,0,1.11,0,0,0,0,0.37,0.74,0,0.74,45.88,0,22.94,0,1.11,5.55,2.59,0,0.37,4.81,0.37,0.74,0,1.48,0.37,0,0,0.37
3Month,0,0.31,5.41,0,0,0.1,0.52,0.21,0,1.25,0,0.21,0.31,22.99,0.42,0.83,0,0.31,0.31,0,0,0,0,0.42,3.85,0,0,0,0.21,5.82,0.21
22Month,0,0.14,1.37,0,0,0,0,0,1.78,0.55,0,0.41,0,3.69,0.41,0,0.14,0,0.27,0,0.14,0,0,0,0.68,0,0,0,0,0,0
