stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0.28,0.85,0.85,0,0.28,5.36,1.41,0,0.85,0,0.28,0.56,0,0
21Day,0,0,1.48,0.37,0,0.74,0,1.11,1.85,0,0.37,0,0.37,0.37,0,1.11,0,0,0,0.37,0
3Month,0,0.1,0.21,0,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,1.14,0,0,1.25
