stage,Epithelial_cell,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Osteoblast,T_cell
72hpf,0,0,0,0,0.56,0.28,0
21Day,0.74,0.37,0,0.74,0.37,0,0.37
3Month,0,0,0.1,0,0,0,0.21
