stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,2,5,0,0,0,0,0,0,0,0,1,0,2,9,0,0,2,10,0,0,0,1,0,0,0,0,0
72hpf,0.56,0.56,0.85,0,0,0,0,0,0,0,0,0.28,2.25,0.28,3.38,0.28,0,1.41,2.54,0,0.28,0,3.1,0,1.13,0.28,0,0
21Day,0.37,0,1.48,0.74,0,0.37,0,0,0,0.74,0,0,4.44,0,1.11,2.96,0,0.37,1.11,0,0,0,0.74,0.37,0,0,0,0.74
3Month,0.1,0.1,0.62,0,0.1,0,0.21,0,1.35,0.83,0,0,0.83,0.31,0.1,0.31,0.42,0.1,0,0,0,0,0.1,0,0,0,1.04,0.62
22Month,0,0.27,0.55,0,0,0,0.14,0.41,1.64,0.14,0.27,0,0,0.14,0.41,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0
