stage,Cardiomyocyte,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0.28,20.57,1.41,0.28,0,0.28
21Day,0.37,1.11,0.37,0,0.37,0.37,0,0.74,1.48,15.54,0.74,0.37,0,0
3Month,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0
22Month,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0
