stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,27,0,1,0,0,0
72hpf,0.85,0.28,0,0,0,0,0,0,0,0.28,0.56,0.28,0.85,0,0,3.95,3.66,0,1.13,0,0,1.97
21Day,0.37,0,0.37,0,0,0,0.37,0,0,0,0.74,0,2.22,0,0,1.85,0.37,0,0.37,0.37,0,0
3Month,0,0.1,0.31,0.1,0,0,0.21,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0.42,0
22Month,0,0,0.27,0.14,0.41,0.27,3.14,0.27,0.27,0,0.14,0.14,0.82,0.41,0,0,0.14,0.14,0.41,0,0.14,0
