stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,7.05,0.28,0,2.25,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0.74,3.33,0,0.74,0.37,0,0,0,0.37,1.11,0,0.74,0,1.11,3.33,0,0,0,7.4,1.11,0.74,4.07,1.11,0,0.37,0.74,1.48,0,0,2.22
3Month,0.1,0.21,0.1,1.14,0,0.1,0.1,3.85,0.31,0,1.35,6.14,0.31,0.52,0.21,0.21,0.94,0.83,0,0.31,0.1,0.73,0.1,0.31,0.1,0.31,0.1,2.18,0,0.21,0.31,1.87,3.43
22Month,0,0.27,0,0,0,0,0,0.14,0.14,0,2.05,1.23,0.14,0.27,0.14,0,0.41,0.55,0.14,0.14,0,0,0,0,0.14,0,0,0.55,0,0,0,0,2.05
