stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,58,0,0,0,0,0,0,0,0,0,0,4,0,28,0,3,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,3.38,0.28,0,0,0,0,0,0,0,0,0,1.69,0,32.13,0,1.13,0,0,0,0,6.2,0.85,0,0,0.85,0,0.28,0,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0
3Month,0,0.52,0.21,12.9,0,0.1,0,0,1.46,0.31,0,1.87,0.73,0.31,1.25,0.62,1.14,0.52,1.14,0.31,0,0.1,0.31,0,0,0.21,0,0,1.04,0.1,0,0,0.62,0.21,0.73
22Month,0,0.96,1.37,11.07,0,0.14,0.27,0.14,2.6,0.14,1.78,9.02,0.55,1.09,9.57,0.82,3.28,1.64,3.55,0,0.27,0.14,0.27,0,0,0.14,0.68,0,0.27,0.27,0.14,0.14,0,0,0.55
