stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.28,25.93,0.28,0,0,0,1.13,0,0.56,5.64,2.54,0.56,1.13,0,0.85,0,0,0
21Day,0.37,0,0.37,5.55,0,0,0.37,0,1.48,0.74,1.11,1.48,1.11,0,2.59,0.37,0.37,0.37,0.37,0.37
3Month,0,0,0,0.42,0,0.21,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0
22Month,0,0,0.27,0,0,0.14,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0
