stage,Goblet_cell,Granulocyte,Ionocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,1,0,0,0,0
3Month,0.1,0.1,0.1,0.1,0,0,0.1,3.02,5.93,0.1
