stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,9,8,0,3,0,0,0,0,0,0,0,0,0,0,4,1,21,0,0,0,0,34,0,0,9,0,0,0,0,1,0,0
72hpf,6.48,7.89,0,0.85,1.69,1.13,0,0.28,0.28,0,0,0,0,0.56,3.38,0.28,31.57,0,0,0.28,26.49,16.35,0.28,0.56,29.03,0,0,12.4,0,0.56,0,0
21Day,12.95,3.7,0.37,8.14,1.48,1.85,0,0.37,0,0,0,1.48,0.37,1.11,4.07,0,41.07,0.37,0,7.77,26.64,6.29,0.74,1.11,6.29,0.74,0.37,4.44,0.37,1.11,0,0.37
3Month,0,0,0,0.1,0,0,0,0,0,0.31,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
22Month,0,4.51,0,0.82,0.14,0,0.14,0,0.96,3.69,0.41,0.41,0.14,0,0.14,0.27,8.88,0.14,0.27,0.55,0.82,0.41,0.82,0.14,0.14,0,6.01,4.1,0,0,0.68,0.14
