stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,1.13,0,0,6.48,5.36,0,0,0,0.85,0,0,0,7.05,19.17,0.28,0,0,0
21Day,1.11,0.37,5.55,1.48,0,0.74,0,0.37,0,1.11,1.48,1.48,0,4.07,0.74,9.62,1.85,0,6.29,2.59,0,0,0,4.07,2.22,0,0.37,46.99,309.31,0,0,0,1.85
3Month,0.21,0,0.42,0,0.1,0,0.21,0.31,0,1.14,0.1,0.21,0.1,0.31,0.52,2.18,0.1,0.21,0.21,0.1,0.1,0,0,0,0.1,1.98,0,0.31,0.21,0,0,0.31,0.1
22Month,0,0.41,0.41,0,0,0,0,0.14,0.27,4.92,0,0,0,0,0.55,0.55,0.14,0,0,0,0,0.14,0.27,0.14,0,3.14,0,0.14,0,0.14,0.14,0,0.14
