stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0.1,0.31,0,0.1,0.1,0.42,0,0.31,0.1,0,0.21,0,0,0.1,0,0
22Month,0,0,0,0,0,0.68,0.14,0,0,0.55,0.14,0,0,0,0.14,0.14
