stage,Cardiomyocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,9,0,0
72hpf,0.28,0,0.28,0.28,0.28,5.64,0.28,0.28
21Day,0,0,0,0.74,0,1.85,0,0
22Month,0,0.14,0,0,0,0,0,0
