stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0.56,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0,0,0,0,0,0,0,0.74,0,0,0,0.37,0,1.11,0,0,0,0,0,0
3Month,0,0.21,0.1,0.73,0.1,0.1,0.21,22.36,0.1,1.46,0.1,0.83,0.42,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.62,0.21,3.74,0.31
22Month,0,0,0.27,0.14,0,0,0,8.61,0,0.41,0,0,0.14,0.14,0.14,0,0,0,0,0.14,0,0,0,0
