"","gene","stage","counts_sum"
"1","ABCF3","21Day",2222
"2","ABCF3","22Month",4112
"3","ABCF3","24hpf",1043
"4","ABCF3","3Month",4674
"5","ABCF3","72hpf",2517
"6","ACSF3","21Day",654
"7","ACSF3","22Month",2870
"8","ACSF3","24hpf",171
"9","ACSF3","3Month",4684
"10","ACSF3","72hpf",862
"11","ACTC1","21Day",1305
"12","ACTC1","22Month",486
"13","ACTC1","24hpf",1351
"14","ACTC1","3Month",368
"15","ACTC1","72hpf",4318
"16","ADAM12","21Day",58
"17","ADAM12","22Month",19
"18","ADAM12","24hpf",25
"19","ADAM12","3Month",54
"20","ADAM12","72hpf",75
"21","ADAMTSL4","21Day",91
"22","ADAMTSL4","22Month",458
"23","ADAMTSL4","24hpf",55
"24","ADAMTSL4","3Month",890
"25","ADAMTSL4","72hpf",125
"26","ADGRL3","21Day",2736
"27","ADGRL3","22Month",1424
"28","ADGRL3","24hpf",242
"29","ADGRL3","3Month",2332
"30","ADGRL3","72hpf",8611
"31","AGBL1","21Day",44
"32","AGBL1","22Month",127
"33","AGBL1","24hpf",13
"34","AGBL1","3Month",214
"35","AGBL1","72hpf",64
"36","AKAP13","21Day",3300
"37","AKAP13","22Month",16844
"38","AKAP13","24hpf",930
"39","AKAP13","3Month",15540
"40","AKAP13","72hpf",2630
"41","AL590149.1","21Day",1351
"42","AL590149.1","22Month",1934
"43","AL590149.1","24hpf",342
"44","AL590149.1","3Month",3892
"45","AL590149.1","72hpf",3211
"46","AL590150.2","21Day",66
"47","AL590150.2","22Month",46
"48","AL590150.2","24hpf",45
"49","AL590150.2","3Month",144
"50","AL590150.2","72hpf",79
"51","AL627305.3","21Day",73
"52","AL627305.3","22Month",0
"53","AL627305.3","24hpf",58
"54","AL627305.3","3Month",0
"55","AL627305.3","72hpf",172
"56","AL645792.2","21Day",10
"57","AL645792.2","22Month",36
"58","AL645792.2","24hpf",49
"59","AL645792.2","3Month",217
"60","AL645792.2","72hpf",5
"61","AL772300.1","21Day",170
"62","AL772300.1","22Month",892
"63","AL772300.1","24hpf",73
"64","AL772300.1","3Month",1465
"65","AL772300.1","72hpf",334
"66","AL772382.1","21Day",72
"67","AL772382.1","22Month",119
"68","AL772382.1","24hpf",322
"69","AL772382.1","3Month",153
"70","AL772382.1","72hpf",202
"71","AL773558.1","21Day",830
"72","AL773558.1","22Month",774
"73","AL773558.1","24hpf",137
"74","AL773558.1","3Month",2505
"75","AL773558.1","72hpf",2016
"76","AL808129.1","21Day",384
"77","AL808129.1","22Month",232
"78","AL808129.1","24hpf",19
"79","AL808129.1","3Month",368
"80","AL808129.1","72hpf",519
"81","AL808129.2","21Day",2
"82","AL808129.2","22Month",48
"83","AL808129.2","24hpf",0
"84","AL808129.2","3Month",48
"85","AL808129.2","72hpf",0
"86","AL840638.1","21Day",1108
"87","AL840638.1","22Month",1112
"88","AL840638.1","24hpf",402
"89","AL840638.1","3Month",1385
"90","AL840638.1","72hpf",2073
"91","AL840638.2","21Day",35
"92","AL840638.2","22Month",181
"93","AL840638.2","24hpf",132
"94","AL840638.2","3Month",136
"95","AL840638.2","72hpf",67
"96","AL844186.1","21Day",5
"97","AL844186.1","22Month",9
"98","AL844186.1","24hpf",23
"99","AL844186.1","3Month",14
"100","AL844186.1","72hpf",12
"101","AL845320.1","21Day",23
"102","AL845320.1","22Month",38
"103","AL845320.1","24hpf",30
"104","AL845320.1","3Month",310
"105","AL845320.1","72hpf",59
"106","AL845324.1","21Day",728
"107","AL845324.1","22Month",395
"108","AL845324.1","24hpf",159
"109","AL845324.1","3Month",1222
"110","AL845324.1","72hpf",1361
"111","AL845362.1","21Day",784
"112","AL845362.1","22Month",268
"113","AL845362.1","24hpf",430
"114","AL845362.1","3Month",1453
"115","AL845362.1","72hpf",1234
"116","AL845550.1","21Day",145
"117","AL845550.1","22Month",188
"118","AL845550.1","24hpf",203
"119","AL845550.1","3Month",373
"120","AL845550.1","72hpf",291
"121","AL928685.2","21Day",92
"122","AL928685.2","22Month",310
"123","AL928685.2","24hpf",64
"124","AL928685.2","3Month",595
"125","AL928685.2","72hpf",89
"126","AL928685.4","21Day",52
"127","AL928685.4","22Month",126
"128","AL928685.4","24hpf",265
"129","AL928685.4","3Month",64
"130","AL928685.4","72hpf",222
"131","AL928824.1","21Day",84
"132","AL928824.1","22Month",51
"133","AL928824.1","24hpf",39
"134","AL928824.1","3Month",285
"135","AL928824.1","72hpf",146
"136","AL928901.1","21Day",38
"137","AL928901.1","22Month",230
"138","AL928901.1","24hpf",117
"139","AL928901.1","3Month",3641
"140","AL928901.1","72hpf",123
"141","AL928908.2","21Day",31
"142","AL928908.2","22Month",592
"143","AL928908.2","24hpf",31
"144","AL928908.2","3Month",575
"145","AL928908.2","72hpf",61
"146","AL929017.1","21Day",238
"147","AL929017.1","22Month",363
"148","AL929017.1","24hpf",136
"149","AL929017.1","3Month",790
"150","AL929017.1","72hpf",418
"151","AL929017.2","21Day",316
"152","AL929017.2","22Month",551
"153","AL929017.2","24hpf",154
"154","AL929017.2","3Month",890
"155","AL929017.2","72hpf",437
"156","AL929028.1","21Day",37
"157","AL929028.1","22Month",346
"158","AL929028.1","24hpf",13
"159","AL929028.1","3Month",622
"160","AL929028.1","72hpf",66
"161","AL929057.1","21Day",76
"162","AL929057.1","22Month",55
"163","AL929057.1","24hpf",74
"164","AL929057.1","3Month",305
"165","AL929057.1","72hpf",153
"166","AL929222.2","21Day",798
"167","AL929222.2","22Month",57
"168","AL929222.2","24hpf",61
"169","AL929222.2","3Month",374
"170","AL929222.2","72hpf",5010
"171","AL929243.1","21Day",236
"172","AL929243.1","22Month",523
"173","AL929243.1","24hpf",114
"174","AL929243.1","3Month",702
"175","AL929243.1","72hpf",431
"176","AL929334.1","21Day",186
"177","AL929334.1","22Month",276
"178","AL929334.1","24hpf",37
"179","AL929334.1","3Month",242
"180","AL929334.1","72hpf",276
