gene	21Day	22Month	24hpf	3Month	72hpf
ABCF3	2222	4112	1043	4674	2517
ACSF3	654	2870	171	4684	862
ACTC1	1305	486	1351	368	4318
ADAM12	58	19	25	54	75
ADAMTSL4	91	458	55	890	125
ADGRL3	2736	1424	242	2332	8611
AGBL1	44	127	13	214	64
AKAP13	3300	16844	930	15540	2630
AL590149.1	1351	1934	342	3892	3211
AL590150.2	66	46	45	144	79
AL627305.3	73	0	58	0	172
AL645792.2	10	36	49	217	5
AL772300.1	170	892	73	1465	334
AL772382.1	72	119	322	153	202
AL773558.1	830	774	137	2505	2016
AL808129.1	384	232	19	368	519
AL808129.2	2	48	0	48	0
AL840638.1	1108	1112	402	1385	2073
AL840638.2	35	181	132	136	67
AL844186.1	5	9	23	14	12
AL845320.1	23	38	30	310	59
AL845324.1	728	395	159	1222	1361
AL845362.1	784	268	430	1453	1234
AL845550.1	145	188	203	373	291
AL928685.2	92	310	64	595	89
AL928685.4	52	126	265	64	222
AL928824.1	84	51	39	285	146
AL928901.1	38	230	117	3641	123
AL928908.2	31	592	31	575	61
AL929017.1	238	363	136	790	418
AL929017.2	316	551	154	890	437
AL929028.1	37	346	13	622	66
AL929057.1	76	55	74	305	153
AL929222.2	798	57	61	374	5010
AL929243.1	236	523	114	702	431
AL929334.1	186	276	37	242	276
AL929435.1	98	1598	61	3782	194
AL929576.1	28	125	10	353	36
AL935126.1	12	49	23	348	33
AL935153.1	948	12630	322	11146	346
AL935166.1	1226	2069	146	4449	2903
AL935174.4	26	3	15	44	48
AL935186.10	30	12	381	5	578
AL935186.9	65	54	1172	71	2629
AL935210.1	775543	34	3679	39	1043511
AL953865.1	56	323	1	382	4
AL954134.2	20	6	1216	0	16
AL954322.2	1513	3971	748	4774	2036
AL954359.2	181	384	80	1176	208
AL954696.1	1987	9042	1188	9770	1460
AL954741.4	467	2463	254	4560	1172
AL954861.2	58	36	6	17	51
ANKRD50	818	498	579	1444	3418
ANPEP	942	30635	744	32792	413
AP3B1	2422	1425	1606	1912	2017
AREL1	2228	3286	983	5532	3734
ARFGAP1	116	333	43	457	153
ARHGEF17	832	1905	306	2028	1820
ASS1	44	21	25	155	18
ASTE1	209	363	129	910	263
ATG14	692	2268	301	5389	1161
ATG2A	184	779	33	1306	185
ATP11B	9460	15082	2708	21265	12877
ATP5MD	20220	99061	10152	116314	24702
ATP8A1	79	748	16	786	132
ATP9A	86	358	38	506	254
AXL	55	344	53	277	159
BX000524.1	1	1442	0	1195	0
BX000701.1	30	8	28	3	37
BX000703.1	32	10	71	9	73
BX001014.2	80	158	607	2479	37
BX001023.2	26	62	288	41	154
BX001026.1	9	5	58	0	19
BX001030.1	325	35490	37	10261	269
BX004823.1	100	122	78	151	61
BX004991.1	493	93	148	73	878
BX004999.1	725	8354	232	15447	1658
BX005003.1	1009	164	80	143	3763
BX005022.1	11	0	90	206	3
BX005065.1	62	377	58	293	60
BX005082.1	62	76	80	309	77
BX005085.1	22	69	40	144	83
BX005085.4	163	389	200	1168	475
BX005085.5	29	24	25	93	48
BX005085.6	102	406	190	1270	245
BX005085.7	459	2921	388	5297	1217
BX005129.1	225	378	87	994	387
BX005228.1	7136	34538	1710	59835	16208
BX005234.1	42	74	173	42	131
BX005245.1	27	258	58	690	31
BX005254.1	46	90	97	812	127
BX005254.3	19	61	289	198	39
BX005254.4	33	54	394	170	68
BX005286.1	57	15	15	94	47
BX005309.1	1083	1625	1129	4521	3748
BX005340.1	1709	9227	1162	14726	1922
BX005367.2	7	0	50	22	19
BX005380.2	71	157	72	17	72
BX005392.3	45	41	189	72	40
BX005396.3	4	0	36	0	23
BX005421.3	197	2702	35	3074	53
BX005450.1	782	782	96	1141	382
BX005454.1	148	143	110	308	237
BX005461.3	335	5095	532	2371	442
BX072576.2	66	76	29	233	30
BX072577.1	56	562	47	865	202
BX085193.2	47	80	44	336	93
BX088538.1	14	120	6	163	16
BX088544.1	1047	1003	390	1688	2586
BX088596.1	201	1243	334	1788	436
BX088688.1	865	2562	302	3219	2437
BX088707.1	1109	14129	1057	19094	3920
BX088713.1	552	659	527	1672	860
BX088718.1	12	2	8	2	9
BX119963.2	54	146	51	770	40
BX120005.1	2602	17122	86	24888	48
BX248108.1	69	206	21	144	211
BX248128.1	47	58	67	6	59
BX248318.1	7136	55613	3642	161312	4597
BX248324.1	368	517	314	874	1701
BX248395.1	708	4601	37	3342	155
BX248418.2	364	580	306	679	492
BX248497.1	297	193	54	585	581
BX248501.1	104	67	18	155	61
BX248510.1	1052	5768	804	6869	1700
BX248511.1	395	1267	162	3233	432
BX248515.1	30	109	11	433	63
BX248521.2	73	142	107	262	113
BX255967.1	18	3	16	106	31
BX276101.1	55	21	96	8	33
BX284635.1	176	241	44	2744	387
BX284638.1	2068	263	2251	306	3680
BX284666.1	58	116	22	161	106
BX293993.1	0	2	44	0	1
BX294178.1	23	81	14	102	80
BX294178.2	3	134	17	295	27
BX294189.1	39	49	65	48	61
BX294379.1	238	28	93	30	246
BX294434.1	439	327	238	1375	871
BX296551.1	17	573	36	586	17
BX322530.1	3081	2727	103	6138	1295
BX322603.1	3	0	2197	0	17
BX322618.1	10324	2170	49	4169	2129
BX322622.1	0	95	0	126	0
BX322657.2	155	437	129	958	295
BX322657.3	134	435	78	396	321
BX322661.2	148	91	423	470	526
BX322665.1	67	13	66	164	45
BX323031.2	54	32	50	155	94
BX323065.1	2	2	31	0	2
BX323067.1	20	125	219	16	251
BX323074.2	105	442	60	1592	54
BX323080.1	2	58	81	531	2
BX323453.1	69	478	43	664	117
