stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,171.63,0,0,0,0,0,0,0,0,0,0,0
72hpf,13.91,4.28,0,7.49,0,5.35,0,0,0,0,0,0,1.07,0,2.14,19.26,1.07,9.63,0,3.21,2.14,1470.96,38.51,2.14,11.77,18.19,1.07,0,13.91,2.14,2.14,2.14,0,0
21Day,5.35,0,0,10.71,1.34,16.06,1.34,0,0,0,2.68,1.34,2.68,2.68,2.68,5.35,2.68,56.22,0,0,6.69,601,25.43,1.34,29.45,13.39,18.74,0,5.35,1.34,5.35,1.34,0,1.34
3Month,0,0,0.32,1.28,0,0,0,0.32,1.28,0,2.88,0.96,0.32,1.28,0.32,0.64,0,1.28,0.32,0,0,1.92,0,0,3.52,0,0.32,1.6,0,0,0,0,1.28,0.32
22Month,0,1.64,1.09,1.09,0,0,0,1.09,2.73,0.55,38.81,0.55,1.64,4.92,0,0,1.64,3.28,0.55,1.09,1.09,0,0,0.55,1.09,0,0,3.83,0,0,0,0,0,1.09
