stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,36.78,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,4.09,24.52,32.69,0,4.09,0,0,24.52,228.84,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,7.49,2.14,0,10.7,1.07,6.42,0,0,0,0,0,0,0,2.14,0,2.14,33.16,0,16.05,0,1.07,0,0,106.98,54.56,0,0,20.33,1.07,0,5.35,0,0,4.28,0,0,0
21Day,5.35,2.68,0,40.16,4.02,20.08,1.34,0,0,0,0,1.34,0,1.34,4.02,1.34,17.4,4.02,33.46,0,0,1.34,0,41.49,16.06,0,4.02,13.39,2.68,1.34,9.37,0,2.68,1.34,0,0,5.35
3Month,0.64,2.88,0.64,21.12,0.32,0,0.32,0,3.84,2.56,0,24.64,3.84,0.64,5.76,1.28,7.36,6.4,12.16,4.16,0,5.12,1.92,1.28,0,1.6,0.64,1.6,0.96,8.96,1.28,0.32,0,0,4.16,3.2,4.48
22Month,0,0.55,0,7.65,0,0,0,0.55,2.19,1.64,0,24.6,0.55,0,2.19,0,1.09,2.19,2.19,0.55,1.09,0,0,0.55,0.55,2.19,1.09,0.55,0,1.09,1.09,0.55,0,0,0.55,0,0.55
