stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,0,0,2.14,2.14,2.14,0,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,0,57.77,22.47,0,1.07,3.21,0,0,4.28,1.07,0,2.14,0,0,0
21Day,1.34,0,0,8.03,0,2.68,0,0,0,0,2.68,0,0,1.34,0,1.34,0,8.03,0,1.34,0,26.77,9.37,0,0,2.68,1.34,0,1.34,0,1.34,0,0,0,2.68
3Month,0.32,1.6,0.64,18.56,0.96,0,0.32,2.24,0.64,0.32,20.16,1.92,0.96,8,0.32,7.04,2.88,5.76,0,1.92,1.92,1.28,0.32,1.92,1.6,0,0.64,15.04,0.32,0,0,0.32,1.92,24.32,0.64
22Month,0,0,0,0.55,0.55,0,0,0,2.73,0,9.29,6.56,1.09,1.09,0,1.09,0.55,2.19,2.19,0,0.55,0.55,0.55,1.64,0.55,0,0.55,1.64,0,0.55,0,0,0.55,0,0.55
