stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,1.07,3.21,0,3.21,0,2.14,3.21,4.28,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,5.35,0,1.34,0,0,4.02,0,2.68,0,0,2.68,0,6.69,0,0,2.68,1.34,5.35,2.68,0,0,2.68,0,0,0,1.34
3Month,0,0,0.32,7.36,0.32,0.32,0.96,0,90.55,0,0.64,0.96,0.96,1.92,0.64,1.28,0.64,0.96,0.32,0,0,2.24,0.32,0,0,0,0.32,0.32,1.6
22Month,0.55,1.64,0,3.83,0,0,1.64,1.64,143.77,1.09,0.55,7.11,0,0.55,2.73,3.28,1.09,26.24,0,0,0,0,0.55,0.55,0,0,0,0,1.09
