stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,4.09,0,0,0,0,8.17,0,0,44.95,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,0
21Day,1.34,1.34,0,1.34,0,2.68,0,2.68,0,0,0
3Month,0,0.32,0,0,0.32,0,0,0,0,0,0.32
