stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,0,0,0,0,4.09,0,8.17,12.26,0,0,0,53.12,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,1.07,0,1.07,0,0,3.21,1.07,0,3.21,3.21,1.07,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0
3Month,0,0,0,0,0,1.28,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0.32
22Month,1.09,0,0,0.55,0.55,3.83,1.09,0,0,0,1.09,0.55,0,0,0,0,0,0,0.55,0
