stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,14.72,5.35,2.68,0,0,4.02,0,1.34,1.34,68.27,0,4.02,0,1.34,0,0,2.68,0,5.35,1.34,0,1.34,1.34,0,0,1.34,1.34,0,0,0,0
3Month,1.28,16.32,51.83,0,1.6,0.64,154.22,5.12,39.67,4.16,701.65,1.6,3.84,4.16,7.68,0.32,1.28,167.65,0.96,0.96,4.16,0.96,0,3.84,0.32,4.16,0.64,0,0.32,2.24,3.2,4.8
22Month,0,12.57,10.93,0,0,0,34.44,1.09,14.21,0,364.07,0,0,1.64,1.09,0,0,37.17,0,1.09,2.73,1.09,0,0.55,0,1.09,1.09,0,0,0,0,1.09
