stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,2.14,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,82.37,5.35,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,0,0,2.68,0,0,36.14,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0.64,0,0.32,3.2,0.64,0.32,0.64,0,0.32,1.28,0.32,0,0.32,1.28,0,0,0.32,0,1.92,0,1.28,0.32
22Month,0,0,0,0.55,0,0.55,7.11,0,0,0,0,0.55,0,0.55,0,0.55,0,0.55,0,0,0,0,0,0
