stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,29156.5,16.35,0,277.88,0,0,0,0,0,20.43,0,0,0,4.09,24.52,49.04,36.78,134.85,0,0,0,0,57.21,993,0,0,16.35,0,0,0,0,0,4.09,0,0,0
72hpf,9603.52,4.28,0,46,8.56,64.19,0,0,1.07,0,0,0,2.14,0,18.19,148.7,12.84,116.61,0,9.63,4.28,0,641.87,314.52,2.14,9.63,133.72,0,0,44.93,2.14,11.77,10.7,0,0,0
21Day,2486.99,12.05,5.35,117.79,4.02,78.97,17.4,0,9.37,0,20.08,1.34,34.8,18.74,12.05,60.23,17.4,270.38,0,0,28.11,0,139.21,104.41,2.68,4.02,73.62,42.83,0,12.05,8.03,14.72,6.69,0,0,17.4
3Month,230.68,0.96,0,7.04,0,0,0.32,0.96,1.92,0,10.24,4.8,0,2.88,0,5.12,1.6,38.39,2.24,0.32,3.84,0.96,0,0.32,0.32,0.32,0,2.88,2.56,0.96,0,0,0,2.24,0.64,2.88
22Month,3.28,0,0,0.55,0,0,0,0,1.09,0,3.28,0,0,0,0,0,1.09,3.28,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
