stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,8.17,12.26,12.26,0,0,16.35,0,0,8.17,0,0,0,0,0
72hpf,7.49,5.35,0,2.14,0,0,3.21,0,0,2.14,0,0,7.49,6.42,31.02,1.07,7.49,9.63,1.07,0,50.28,1.07,7.49,0,0,0
21Day,1.34,6.69,46.85,2.68,4.02,0,8.03,0,0,42.83,0,0,16.06,21.42,50.86,9.37,10.71,6.69,0,2.68,54.88,4.02,4.02,0,0,24.09
3Month,0,1.28,2.88,0,0,0.64,0.96,3.52,0.32,0.32,0.64,0,0,1.6,1.92,0,0,0,1.28,0.32,0,0.32,0,0.32,0,3.84
22Month,0,1.09,0.55,0,0,0.55,4.92,9.29,1.09,0,2.19,0.55,0.55,3.28,4.37,0.55,7.65,0,0,0,1.09,0,0,0,0.55,2.19
