stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,40.86,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,3.21,0,1.07,0,0,0,0,0,0,0,3.21,2.14,83.44,35.3,0,0,0,0,0,3.21,1.07,9.63,0
21Day,4.02,0,21.42,0,2.68,0,0,0,1.34,0,1.34,0,2.68,17.4,69.6,33.46,0,1.34,5.35,5.35,0,2.68,0,4.02,0
3Month,0,0,1.92,0.32,0,0,0.32,0,0.96,0.32,0,0.64,0.32,0.64,0.64,0,1.28,0,0,0,1.28,0,0,0.32,0.32
22Month,0,0.55,2.73,0.55,0,0.55,1.64,1.64,13.67,0.55,1.09,0,0,1.64,0.55,0,1.64,0,0,0,0.55,0,0,0,0
