stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,20.08,0,4.02,0,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0,0
3Month,1.92,1.6,0,0.32,0.32,0.64,0,52.15,0.64,0,2.56,0.32,0.32,0.64,1.92,0,0.64,1.92,0.32,0,0.32,0.32,0.32,0.96,1.6,0,3.2,19.84,0.32
22Month,6.01,1.09,0,0,0.55,1.09,0.55,108.24,1.09,0,2.19,0.55,0.55,0.55,1.09,4.37,0,0,0.55,0,0,0,0,0,1.09,0.55,2.19,0,0
