stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,3.21,2.14,0,0,0,0,0,1.07,0,0,0
21Day,2.68,0,2.68,1.34,0,0,0,0,0,0,0,0,2.68,0,4.02,0,4.02,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,1.92,7.68,0,0.64,0.32,1.6,1.6,0,2.24,12.16,0.96,2.24,0.96,2.24,6.08,0.64,0.32,1.28,0,0,0.64,0,0.64,0.32,19.84,0,0.64,9.28,51.19
22Month,0,0,1.09,0,0,0,1.09,3.28,0.55,4.37,0,0,2.73,0,0,7.11,2.19,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,27.88
