stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,4.37,3.83,0.55,4.37,4.37,25.15,2.73,1.64,0.55,1.09,1.09,2.73,0,0.55,264.58,0.55,0.55,1.09
