stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,4.02,0,2.68,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,4.02
3Month,0.32,0.64,6.4,0,0.96,9.92,0,0.96,16,0,0.64,3.2,13.76,0.32,0.64,0.96,0.32,0,0.32,0.32,0.32,3.2,0,0,0.32,0.64,3.2
22Month,0.55,0,3.83,0.55,0.55,23.51,0.55,9.29,4.92,1.64,1.09,1.09,14.76,0,0,0.55,0,0.55,0,0.55,0,2.19,0.55,0,0,0,1.64
