stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,44.95,0,0,53.12,4.09,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0
72hpf,0,0,0,21.4,6.42,2.14,0,0,0,0,0,0,2.14,20.33,1.07,3.21,0,0,1.07,0,9.63,6.42,0,1.07,9.63,0,1.07,0,0,0
21Day,0,0,0,9.37,1.34,1.34,0,0,0,0,0,0,0,20.08,0,5.35,0,0,0,0,5.35,1.34,0,1.34,1.34,0,1.34,0,0,0
3Month,0,2.56,2.88,17.92,0.64,0,1.28,0.96,0,4.16,1.92,8,0.96,49.91,0.96,2.88,0.96,0.32,0.32,0.32,0.64,0,0.32,0.32,0.96,3.2,0.64,0.32,2.88,0
22Month,0,3.28,0,9.29,1.09,0,0.55,1.64,0.55,10.93,0.55,10.39,0,5.47,1.64,1.09,0.55,0,0.55,0,0,0,0,0,0.55,6.56,3.83,0,0,0.55
