stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,1.07,0,17.12,0,0,3.21,0,7.49,1.07,1.07,0,1.07
21Day,0,1.34,21.42,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0.64,0.96,0.32,0.32,0,0,0,0,0,0,0
22Month,0,0,0.55,0.55,0,0,0.55,0,0,0,0.55,0
