stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,175.72,355.52,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,3.21,1.07,2.14,0,0,0,0,0,0,0,0,1.07,9.63,0,5.35,0,0,0,547.73,26.74,0,0,5.35,0,0,3.21,1.07,1.07,0,0
21Day,0,0,0,4.02,0,1.34,0,0,0,0,0,0,0,0,0,1.34,2.68,2.68,0,0,1.34,111.1,5.35,0,0,0,4.02,0,0,0,1.34,0,1.34
3Month,0,0.64,0.64,21.44,0,0,0.32,44.79,0.32,0,8.64,0,0.32,1.28,0,1.28,0,1.28,0.32,0,0.32,4.8,0,0.64,0.32,0,0,1.6,0,0,0,0.32,0.96
22Month,0,0.55,1.64,61.23,0,0,0.55,28.43,1.64,0.55,16.4,0.55,0.55,0.55,0,0,0.55,1.64,0,0.55,0.55,2.19,0,1.09,0,0,1.09,2.73,0,0.55,0,0,0
