stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,2.14,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,1.07,0,0,0,14.98,4.28,0,0,2.14,0,0,1.07,0,0,0,0
21Day,0,0,0,0,12.05,0,0,1.34,0,0,0,2.68,0,0,2.68,2.68,4.02,0,0,1.34,4.02,1.34,0,1.34,8.03,1.34,0,0,2.68,0,0,2.68
3Month,0.32,1.28,3.84,0.32,0,0.96,0.96,11.52,0,4.16,8,0.32,1.92,0,2.88,3.52,1.6,0.96,0,0.32,0.32,0.32,0.32,0,0.32,0,3.52,0,0,1.28,5.76,3.52
22Month,0,0,3.28,0,0,0,0,10.93,2.19,30.07,4.92,3.83,3.28,0,1.09,6.56,3.28,0,0.55,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,2.19
