stage,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,3.21,0,0,0,0,0,0,3.21,0,0,0,0,0,7.49,0,0,0,0,0,0
21Day,0,13.39,0,0,0,0,0,0,0,1.34,0,0,1.34,0,8.03,1.34,0,1.34,1.34,0,0
3Month,1.6,2.88,0.64,0,2.56,0,0.32,0.64,0.32,0.32,1.28,0.32,0,0,0,0,0.64,0.32,0,0.32,0.32
22Month,0,0.55,0.55,1.64,25.69,0.55,0,1.09,0,0,2.19,0,0,1.09,0.55,0,0,1.09,0,0,0
