stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,32.69,0,89.9,12.26,0,0,0,0,0,0,0,0,0,0,0,171.63,0,0,0,57.21,179.8,0,0,0,0,0,0,0,0,0,0,0
72hpf,53.49,5.35,28.88,66.33,21.4,0,0,0,0,0,0,2.14,5.35,29.95,0,251.4,0,14.98,1.07,2076.46,160.47,0,1.07,55.63,0,0,21.4,1.07,1.07,3.21,0,0
21Day,38.82,0,32.12,14.72,10.71,0,0,0,0,0,4.02,0,4.02,2.68,4.02,40.16,0,25.43,0,493.92,81.65,0,0,14.72,22.76,0,1.34,0,2.68,1.34,0,4.02
3Month,0.64,0.64,8.96,3.2,0,0,0,0,2.88,0.32,0,0.64,0.96,3.52,2.56,1.92,0,0.64,0,2.24,1.92,1.28,0,0.32,1.6,0.64,0,0,0,0,1.6,1.6
22Month,0,0.55,3.83,4.92,0,0.55,4.37,1.09,9.84,0,1.09,0,0,0.55,0.55,2.73,0.55,1.09,0,0,0,3.83,0,0,0,1.64,0.55,0,0,0,0,0.55
