stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,32.69,0,0,0,0,0,0,0,0,12.26,0,0
72hpf,8.56,4.28,4.28,6.42,5.35,0,0,0,0,1.07,0,2.14,14.98,3.21,28.88,1.07,1245.24,31.02,0,0,12.84,0,1.07,6.42,1.07,1.07,1.07,0,0
21Day,25.43,1.34,21.42,0,24.09,2.68,0,0,0,1.34,1.34,2.68,16.06,1.34,45.51,2.68,1023.98,22.76,1.34,8.03,10.71,20.08,2.68,6.69,22.76,78.97,1.34,1.34,5.35
3Month,0,0,0,0,0,0,0,0.64,0,0,0,0,0.64,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.96,0
22Month,0,0.55,0.55,0,0,0.55,0.55,10.39,1.09,0,1.09,0,0,0,0.55,0,3.28,0,0.55,0.55,0,0,6.56,0,0,0,0,0,0
