stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,0,0,0,0,0,4.09,0,0,0,65.38,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,2.14,9.63,3.21,0,0,0,0,0,0,0,0,0,2.14,143.35,0,135.86,0,0,1.07,0,17.12,8.56,0,0,0,176.52,0,0,4.28,0,0,1.07,0,0,0
21Day,5.35,0,14.72,6.69,0,1.34,0,0,0,1.34,0,0,2.68,0,5.35,1.34,275.74,0,0,4.02,0,10.71,5.35,0,0,0,65.59,8.03,0,1.34,1.34,2.68,0,0,0,0
3Month,2.24,2.56,3.84,0,0.32,0,0.32,8.32,0,7.68,2.88,0.32,2.24,0.64,1.92,2.24,221.4,20.48,0,3.52,0.32,0.32,0,0.64,0,0,0,0.96,3.2,0,0,0,0.32,2.88,3.84,2.24
22Month,0.55,2.73,2.73,0,0.55,0,0,3.83,0.55,61.77,5.47,1.64,3.28,0,0.55,1.64,290.27,2.19,0.55,2.73,0,0.55,0.55,0,0.55,0.55,0,0.55,2.73,0,0,0,0,0.55,0,0.55
