stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,4.09,4.09,0,12.26,4.09,0,16.35,0
72hpf,2.14,0,0,0,0,0,4.28,0,1.07
21Day,0,1.34,0,1.34,0,0,0,0,0
