stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,28.6,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0
72hpf,5.35,0,0,0,0,0,0,0,1.07,1.07,0,0,1.07,1.07,0,0,0,0
21Day,6.69,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.96,0,1.28,0.32,3.84,0.32,0.64,0.32,0.64,1.28,0.32,0.64,0,0,0.32,2.88,0.32,55.03
22Month,0,0.55,0.55,0,2.19,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0.55
