stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,143.35,2.14,0,0,0,0,0,1.07,0,2.14,0,0,0,40.65,8.56,2.14,2.14,0,0,0,0,0
21Day,1.34,0,2.68,14.72,1.34,0,0,1.34,0,0,4.02,0,1.34,0,1.34,0,29.45,2.68,0,0,1.34,1.34,0,0,0
3Month,0,0.32,6.08,9.92,0,1.28,2.88,0.96,1.28,0.64,0.96,0.32,0.32,0,22.4,2.88,0.64,0.96,1.28,0,1.6,30.08,0.96,22.08,0.32
22Month,0,0,1.64,1.09,0,1.09,6.01,0.55,0,0,0,0.55,0.55,0.55,20.77,0,0,0,1.09,0,0,4.37,0,0,0
