stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,0,0,1.07,0,0,0
21Day,1.34,2.68,2.68,0,0,0,0,2.68,1.34,2.68,1.34,1.34,0
3Month,0,0.32,0,0.32,1.92,0,0,1.6,0,0,0.32,0,0.32
22Month,0,0.55,0,0,5.47,0,0.55,1.09,0,0,0,0,0
