stage,Enterocyte,Goblet_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Retinal_cell
72hpf,0,0,0,0,0,0,0,11.77,1.07,1.07
21Day,1.34,0,0,0,0,1.34,0,8.03,0,0
3Month,0,0.32,1.6,0,0,0,0,0,0,0
22Month,0,0,3.28,0.55,0.55,0,0.55,0,0,0.55
