stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,273.79,0,0,0,0,0,0,318.74,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,9.63,0,0,0,0,4.28,0,0,0,28.88,3.21,0,0,0,0,0,262.1,9.63,2.14,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,5.35,0,0,2.68,0,2.68,2.68,0,0,0,0,0,2.68,0,0,4.02,0,2.68,0,1.34,1.34,311.88,8.03,5.35,0,0,0,2.68,4.02,0,0,2.68,0,0,0,2.68
3Month,0.32,1.92,1.6,24,0.32,0,0.32,2.24,5.44,0,23.04,6.4,0.32,10.56,8.96,6.72,3.2,4.8,1.92,0,2.88,1845.47,0.64,0.32,1.92,0,0,0,3.84,7.36,0.64,0,0.32,0.64,4.48,4.8
22Month,0,0,0,2.19,0,0,0,0,1.09,1.09,12.03,1.09,0,3.28,0,0,0.55,1.09,0,0,0,107.69,0,0,0.55,0.55,0.55,0,0.55,2.19,0,0,0,0,0,0.55
