stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,8.17,0,28.6,0,4.09,0,0,0,0,0,0,0,0,0,0,0,32.69,65.38,0,0,0,0,16.35,322.83,0,0,0,0,0,0,4.09,0
72hpf,8.56,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,1.07,7.49,1.07,9.63,0,0,0,0,24.61,23.54,0,1.07,7.49,0,0,3.21,0,0
21Day,0,1.34,0,6.69,1.34,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,8.03,0,0,2.68,1.34,2.68,12.05,0,1.34,2.68,5.35,0,0,0,0
3Month,0,0.64,0,8.64,0,0,0,0,0.96,1.28,0,5.44,0.96,1.28,3.2,0.64,2.56,0.96,9.6,1.92,0,1.92,1.92,1.92,0.96,0.64,0.32,0.32,0,1.28,0,0.32,2.88
22Month,0,2.19,0.55,8.2,0,0,0.55,3.28,1.09,7.11,1.64,45.92,4.37,4.92,9.84,0,1.09,8.2,14.21,0.55,1.09,0.55,0.55,1.64,0,1.09,1.64,1.09,0.55,1.64,0.55,0,1.09
